Feature_Count,Feature,Mandatory,Outer_Evaluations,Selection_Count,Selection_Frequency,Zero_Count,Mean_Rank,Rank_SD,Mean_Normalized_Hybrid_Feature_Score,Hybrid_Score_SD
17,Ni,False,25,25,1.0,0,15.52,0.7702813338860894,0.08185435070973286,0.04128515599083175
17,Sc,False,25,25,1.0,0,10.0,1.8027756377319946,0.2656616097768115,0.09188845298127316
17,Si,False,25,25,1.0,0,9.24,1.5885003409925138,0.2789977943376309,0.08156788595414587
17,Tage,True,25,25,1.0,0,2.0,0.0,0.4412483977180348,0.04355386955479298
17,Ti,False,25,25,1.0,0,6.44,0.7118052168020874,0.3494769265829181,0.06519181012500422
17,Tsol,True,25,25,1.0,0,1.0,0.0,0.6496667679997676,0.08291548516794993
17,V,False,25,25,1.0,0,16.68,0.5567764362830019,0.05190807162518944,0.039530994957495444
17,Zn,False,25,25,1.0,0,4.0,0.0,1.0,0.0
17,Zr,False,25,25,1.0,0,9.68,1.3140268896284681,0.27094749049194616,0.04821687675314615
17,tage,True,25,25,1.0,0,3.0,0.0,0.1542428713957803,0.0955122876697391
