Heldout_Condition_ID,Source_Original_Indices,Original_Index,Recommendation_Eligible,Scenario,YS_Weight,UTS_Weight,El_Weight,Uncertainty_Weight,Weight_Sum,Normalized_YS_Component,Normalized_UTS_Component,Normalized_El_Component,NormalizedUncertaintyPenalty,ScenarioScore,ScenarioRank,BaselineRank,RankShift
HTC-033,317,317,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.7349108918292716,0.699086151339455,0.665440479878567,1.8594196283865891,0.18796951767140746,32,31,-1
HTC-034,70,70,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.7135457265539575,0.7707293735220277,0.6284018433210457,2.3604580048865724,0.09129649964234143,47,49,2
HTC-035,368,368,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.6229386515241316,0.6951613947117825,0.6108030771406358,2.9603205567665967,-0.07768672865650761,74,76,2
HTC-036,227,227,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.44293663106501835,0.5871798019905573,0.3623362151828172,1.4178408735537742,0.08776271295290627,48,53,5
HTC-037,218,218,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.816750666585657,0.863915881718573,0.48062298797158315,1.2169352763588672,0.3329808017541887,21,22,1
HTC-038,39,39,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.3876068110564949,0.5193716737149315,0.5388901015578983,1.1959271849508009,0.14637382597371493,40,34,-6
HTC-039,196,196,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.4496423963275388,0.5989406794173028,0.47103867060576915,0.913541089867301,0.2225277979111871,28,28,0
HTC-040,209,209,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.8253638129159051,0.8660738356839282,0.4917468671847753,1.0085024649616698,0.38050564268070264,14,18,4
HTC-041,284,284,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.6156377894170287,0.7527428808585825,0.9999999999999551,1.5888574317167297,0.3137756384191476,22,16,-6
HTC-042,280,280,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.6855042208230517,0.7714663501794881,0.8820631457011258,1.5611851660502174,0.311495052720254,23,19,-4
HTC-043,278,278,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.6928718704983505,0.763474433870608,0.8471012760244443,1.3113154839340508,0.35198166277650783,18,11,-7
HTC-044,275,275,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.6902559502524742,0.7350745468092832,0.7956915653075456,1.1928016159762171,0.3537066916821189,17,12,-5
HTC-045,76,76,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.2401511190795987,0.4550748542354768,0.928160091234357,3.143120889382619,-0.1957599304703136,78,78,0
HTC-046,336,336,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.21904936192041016,0.45433754749936456,0.8012976600979257,1.924452179033505,0.008327809117659901,63,51,-12
HTC-047,338,338,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.4185821646079549,0.5146635697521728,0.5364612096639945,2.9418141551617616,-0.19644563518208535,79,79,0
HTC-048,124,124,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.7322400199221214,0.694881816468174,0.6852783221759449,1.5705303576069654,0.2492025229360056,25,24,-1
HTC-049,353,353,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.6709949324605392,0.7117057866510802,0.6228902044242937,0.8894676413873315,0.3569352820091193,16,17,1
HTC-050,234,234,False,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.27354161939701155,0.33034507362414584,0.5081859969852337,0.8796307569126239,0.1206128164424812,44,35,-9
HTC-051,140,140,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.6188450254018482,0.6276728435063135,0.5752091162564846,1.4952233557512242,0.18675239488154066,33,32,-1
HTC-052,132,132,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.7640242138512301,0.7212439596818648,0.47696101210918956,0.3933582527738643,0.44460717715481346,7,7,0
HTC-053,137,137,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.7609739743212557,0.7216609105155154,0.48093848637094044,0.38080782801259944,0.44747535864993965,6,6,0
HTC-054,42,42,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.02395451111753906,0.3001876940218534,0.8549449088799391,2.53220675604301,-0.19206431239053423,77,77,0
HTC-055,19,19,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.4003553770892471,0.6777178609500484,0.7658259549604595,3.8802741496660746,-0.2843634977556764,83,83,0
HTC-056,72,72,False,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.31165590027405793,0.5175323448771805,0.8708499178351147,2.652515419298649,-0.07718999078305289,73,65,-8
HTC-057,22,22,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.4092734102619079,0.6329564855467876,0.5998568761233757,2.079516245758216,0.02198130723502778,61,59,-2
HTC-058,57,57,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.18500772374770266,0.19623484773099187,0.6708910956658845,1.9916256853762417,-0.11778817715735573,75,70,-5
HTC-059,56,56,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.18353564441657658,0.19582943936439895,0.6678924387419415,2.00649090516478,-0.12206138901996821,76,71,-5
HTC-060,332,332,True,Equal property emphasis,0.2667,0.2667,0.2666,0.2,1.0,0.07669640444856234,0.0,0.6774053420616272,0.704048861463141,0.06024142296743315,53,37,-16
