Heldout_Condition_ID,Source_Original_Indices,Record_Count,Data_Split,Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Tsol,Tage,tage,Calculated_Al_Balance,Reported_NonAl_Element_Sum,Composition_Total_Exceeds_100,Al_Balance_Nonnegative,Missing_Element_Count,Missing_Element_Columns,Composition_Feasible,Out_of_Range_Feature_Count,Out_of_Range_Features,Out_of_Range_Composition_Count,Out_of_Range_Composition_Variables,Out_of_Range_Processing_Count,Out_of_Range_Processing_Variables,Selected_Feature_Range_Violations,Within_All_Training_Feature_Ranges,Within_All_Training_Raw_Ranges,Pred_YS,Pred_UTS,Pred_El,EnsembleStd_YS,EnsembleStd_UTS,EnsembleStd_El,Lower_YS,Upper_YS,Lower_UTS,Upper_UTS,Lower_El,Upper_El,UncWidth_YS,UncWidth_UTS,UncWidth_El,NormalizedUncWidth_YS,NormalizedUncWidth_UTS,NormalizedUncWidth_El,NormalizedPred_YS,NormalizedPred_UTS,NormalizedPred_El,StrengthScore,DuctilityScore,NormalizedUncertaintyPenalty,PropertyOnlyScore,PropertyOnlyRank,ReliabilityAwareScore,ReliabilityAwareRank,RankShift,KNN_k,KNN_Mean_Distance,KNN_AD_Threshold,Distance_AD_Status,Applicability_Domain_Status,Recommendation_Eligible
HTC-043,278,1,Final_Test,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,477.0,160.0,7.0,87.7013,12.298699999999998,False,True,0,,True,0,,0,,0,,,True,True,486.32201875000203,560.4961437500031,20.69170625000014,14.345812598136494,10.383574400043276,1.2087945586374893,416.8464070177787,555.7976304822254,514.4552871750559,606.5370003249502,13.848876061174707,27.534536438825576,138.95122346444668,92.08171314989431,13.68566037765087,1.153826250700011,0.886744575390627,1.8933756257115149,0.6928718704983505,0.763474433870608,0.8471012760244443,0.7281731521844792,0.8471012760244443,1.3113154839340508,0.6301097712835695,3,0.3678466744967593,11,-8,5,0.16205058890519997,2.6849196546971856,Inside,Inside,True
HTC-044,275,1,Final_Test,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,477.0,160.0,16.0,87.7013,12.298699999999998,False,True,0,,True,0,,0,,0,,,True,True,485.2516125000013,549.5260750000016,19.546693750000102,14.739575393403468,11.398850256283069,0.9062312733772111,413.86903935500675,556.6341856449958,498.98347670922186,600.0686732907814,14.41663530595749,24.676752194042713,142.76514628998905,101.0851965815595,10.260116888085223,1.1854963876339308,0.9734478937753769,1.4194605665193438,0.6902559502524742,0.7350745468092832,0.7956915653075456,0.7126652485308786,0.7956915653075456,1.1928016159762171,0.6033427255353697,4,0.36478240234012627,12,-8,5,0.1490576686366316,2.6849196546971856,Inside,Inside,True
HTC-031,304,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,140.0,20.0,89.33,10.669999999999998,False,True,0,,True,0,,0,,0,,,True,True,540.9366312499992,567.9749312499995,16.098383750000007,15.64914719019534,11.25315970083209,0.6446002703775165,465.14907536037776,616.7241871396207,518.078326111766,617.8715363882329,12.449384678748048,19.747382821251968,151.5751117792429,99.79321027646688,7.2979981425039195,1.2586527744279141,0.9610060982404165,1.0096591189760806,0.826342195955923,0.7828359096458184,0.6408665135616579,0.8045890528008707,0.6408665135616579,1.076439330548137,0.5781822265450115,6,0.3628943604353841,13,-7,5,0.12126725583997149,2.6849196546971856,Inside,Inside,True
HTC-015,116,1,Final_Test,0.0,0.0,2.24,0.0,1.95,0.0,7.82,0.0,0.0,0.16,0.0,0.0,0.0,0.0,470.0,150.0,8.0,87.83,12.17,False,True,0,,True,0,,0,,0,,,True,True,547.871189375,605.3999600000004,14.208810625000016,11.814892380145686,14.135224135341412,0.5837586783176083,490.6526198329579,605.089758917042,542.724256833572,668.0756631664289,10.90422796137058,17.51339328862945,114.4371390840841,125.35140633285687,6.6091653272588715,0.9502656532132625,1.2071308817018322,0.9143608851615802,0.8432892672154388,0.8797237791741401,0.5560269089855746,0.8615065231947895,0.5560269089855746,1.0239191400255583,0.5670133728721456,9,0.36222954486703396,14,-5,5,0.6679450713164397,2.6849196546971856,Inside,Inside,True
HTC-030,302,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,140.0,14.0,89.33,10.669999999999998,False,True,0,,True,0,,0,,0,,,True,True,543.4838874999989,572.6732374999991,15.740099999999961,13.577771210727503,10.020605709456522,0.8032625687011542,477.727838171347,609.2399368286508,528.2417871626899,617.1046878373083,11.192934116151237,20.287265883848683,131.5120986573038,88.86290067461846,9.094331767697446,1.0920530811610514,0.8557474924301455,1.2581772180472508,0.8325673270178948,0.7949991303074472,0.6247799957794787,0.8137832286626709,0.6247799957794787,1.0686592638794825,0.5754252897768599,7,0.3616934370009634,15,-8,5,0.13570383391615856,2.6849196546971856,Inside,Inside,True
HTC-041,284,1,Final_Test,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,477.0,160.0,0.17,87.7013,12.298699999999998,False,True,0,,True,0,,0,,0,,,True,True,454.7186687500007,556.3508499999964,24.097112500000073,16.540619177156145,11.461176044875517,1.5689175895489318,374.61378603282014,534.8235514671812,505.5318986365474,607.1698013634453,15.215672268121777,32.978552731878366,160.2097654343611,101.63790272689795,17.762880463756588,1.3303534029259954,0.978770440016085,2.457448452208109,0.6156377894170287,0.7527428808585825,0.9999999999999551,0.6841903351378056,0.9999999999999551,1.5888574317167297,0.6736761340551043,1,0.35590464771175834,16,-15,5,0.1730945711334831,2.6849196546971856,Inside,Inside,True
HTC-049,353,1,Final_Test,0.15,0.26,1.5,0.0,2.4,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,140.0,264.0,89.99,10.01,False,True,0,,True,0,,0,,0,,,True,True,477.37021249999543,540.4993875000048,15.698009999999869,11.957936692257464,8.365074800870348,0.6334953554589512,419.4588909082616,535.2815340917293,503.4085751845971,577.5901998154125,12.111874420213418,19.28414557978632,115.82264318346773,74.18162463081535,7.172271159572901,0.9617706328778018,0.714367174380864,0.9922651169033287,0.6709949324605392,0.7117057866510802,0.6228902044242937,0.6913503595558097,0.6228902044242937,0.8894676413873315,0.5256962255920414,23,0.34780269731457514,17,6,5,1.7222837644891187,2.6849196546971856,Inside,Inside,True
HTC-040,209,1,Final_Test,0.05,0.07,1.22,0.0,2.39,0.0,6.58,0.0,0.03,0.11,0.0,0.0,0.002,0.0,488.0,121.0,24.0,89.548,10.452,False,True,0,,True,0,,0,,0,,,True,True,540.5362875000012,600.1273749999996,12.777146250000007,12.962622620602717,10.824481844746042,0.6758029090107015,477.75935310701317,603.3132218929893,552.1315310938351,648.1232189061641,8.951513064772143,16.60277943522787,125.55386878597614,95.99168781232902,7.651266370455726,1.0425769998295198,0.924397532782773,1.0585328622727166,0.8253638129159051,0.8660738356839282,0.4917468671847753,0.8457188242999166,0.4917468671847753,1.0085024649616698,0.5349862765938768,21,0.3332857836015428,18,3,5,1.0515678966165658,2.6849196546971856,Inside,Inside,True
HTC-042,280,1,Final_Test,0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0.0,0.0,0.12,0.0,0.0,0.0,0.0,477.0,160.0,3.0,87.7013,12.298699999999998,False,True,0,,True,0,,0,,0,,,True,True,483.30725625000287,563.5831937500034,21.47038750000013,17.50780857774525,11.981437707774123,1.4378873670866603,398.5183533868503,568.0961591131554,510.4573977820808,616.708989717926,13.330692462198922,29.610082537801336,169.5778057263051,106.25159193584517,16.279390075602414,1.4081439436420768,1.0232001507439086,2.252211403764667,0.6855042208230517,0.7714663501794881,0.8820631457011258,0.7284852855012699,0.8820631457011258,1.5611851660502174,0.6442193724809583,2,0.3319823392709148,19,-17,5,0.16782522013567483,2.6849196546971856,Inside,Inside,True
HTC-032,312,1,Final_Test,0.01,0.02,1.39,0.0,1.58,0.0,7.55,0.0,0.0,0.12,0.0,0.0,0.0,0.0,475.0,160.0,2.0,89.33,10.669999999999998,False,True,0,,True,0,,0,,0,,,True,True,533.3923562500001,567.1276375000003,15.138855624999954,16.605565987055396,10.873159604397888,0.8947511465217578,452.9729413783115,613.8117711216888,518.9159559966831,615.3393190033175,10.073784698817045,20.20392655118286,160.83882974337735,96.42336300663442,10.130141852365815,1.3355770410849437,0.9285545540173572,1.4014788573587114,0.8079050635933825,0.7806423913228144,0.597784832504919,0.7942737274580984,0.597784832504919,1.2218701508203373,0.556823423985207,18,0.31244939382113956,20,-2,5,0.12007758481093005,2.6849196546971856,Inside,Inside,True
HTC-016,117,1,Final_Test,0.0,0.0,2.24,0.0,1.95,0.0,7.82,0.0,0.0,0.16,0.0,0.0,0.0,0.0,470.0,150.0,30.0,87.83,12.17,False,True,0,,True,0,,0,,0,,,True,True,567.1812187500002,617.2027875000006,13.232477500000016,18.191968344433107,19.382122542524748,0.6687434452654779,479.07898539720674,655.2834521027937,531.2622925105568,703.1432824894443,9.44680702877341,17.01814797122662,176.20446670558698,171.88098997888756,7.571340942453212,1.4631705580305516,1.6552095987662911,1.0474753865588193,0.8904802255926808,0.9102795555911528,0.5121907032502013,0.9003798905919168,0.5121907032502013,1.3886185144518874,0.5650282375368473,13,0.28730453464646977,21,-8,5,0.6629031221361952,2.6849196546971856,Inside,Inside,True
HTC-037,218,1,Final_Test,0.04,0.07,1.19,0.0,2.42,0.04,6.9,0.0,0.04,0.08,0.0,0.0,0.002,0.0,488.0,121.0,24.0,89.218,10.782,False,True,0,,True,0,,0,,0,,,True,True,537.0118812500007,599.2938187499988,12.529391875000016,16.571082475814883,13.454056626399451,0.7463558256344687,456.7594672379741,617.2642952620273,539.638418067499,658.9492194324986,8.304367725989966,16.754416024010066,160.5048280240532,119.31080136499963,8.4500482980201,1.3328035502014055,1.1489600082016227,1.1690422706735735,0.816750666585657,0.863915881718573,0.48062298797158315,0.840333274152115,0.48062298797158315,1.2169352763588672,0.5283825048494792,22,0.2849954495777058,22,0,5,0.9218890368685637,2.6849196546971856,Inside,Inside,True
