Heldout_Condition_ID,Source_Original_Indices,Record_Count,Data_Split,Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Reported_NonAl_Element_Sum,Calculated_Al_Balance,Al_Balance_Basis,Composition_Total_Exceeds_100,Al_Balance_Nonnegative,Elemental_Values_Nonnegative,Missing_Element_Count,Missing_Element_Columns,Composition_Feasible
HTC-065,355,1,Final_Test,0.5,0.5,4.5,0.58,1.5,0.01,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,7.99,92.01,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-066,340,1,Final_Test,0.6,0.4,0.3,0.12,1.01,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8099999999999996,97.19,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-067,244,1,Final_Test,0.6,0.7,0.275,0.15,1.0,0.195,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,3.32,96.68,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-068,409,1,Final_Test,0.644,0.116,4.41,0.521,0.691,0.0,0.0,0.013,0.014,0.0,0.0,0.0,0.0,0.0,6.409,93.591,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-069,245,1,Final_Test,0.8,0.0,4.4,0.75,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65,93.35,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-070,423,1,Final_Test,0.8,0.0,4.4,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,93.6,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-071,248,1,Final_Test,0.8,0.456,0.321,0.212,0.91,0.021,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.898,97.102,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-072,15,1,Final_Test,0.81,0.27,4.27,0.74,0.52,0.02,0.09,0.0,0.02,0.0,0.0,0.0,0.0,0.0,6.739999999999999,93.26,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-073,11,1,Final_Test,0.81,0.27,4.27,0.74,0.52,0.02,0.09,0.0,0.02,0.0,0.0,0.0,0.0,0.0,6.739999999999999,93.26,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-074,9,1,Final_Test,0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.05,0.0,0.0,0.0,0.0,7.85,92.15,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-075,55,1,Final_Test,1.0,0.5,0.1,0.6,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,3.2,96.8,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-076,417,1,Final_Test,1.2,0.18,0.06,0.86,0.97,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4299999999999997,96.57,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-077,420,1,Final_Test,1.2,0.18,0.06,0.86,0.97,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4299999999999997,96.57,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-078,370,1,Final_Test,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0,17.629125,82.370875,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-079,373,1,Final_Test,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0,17.629125,82.370875,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-080,383,1,Final_Test,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0,17.629125,82.370875,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-081,379,1,Final_Test,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0,17.629125,82.370875,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-082,390,1,Final_Test,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0,17.629125,82.370875,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-083,396,1,Final_Test,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0,17.629125,82.370875,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-084,398,1,Final_Test,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0,17.629125,82.370875,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-085,400,1,Final_Test,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0,17.629125,82.370875,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-086,401,1,Final_Test,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0,17.629125,82.370875,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
HTC-087,46,1,Final_Test,12.25,1.0,0.9,0.0,1.05,0.1,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.0,16.45,83.55,100 minus reported elemental columns; Al is not explicit,False,True,True,0,,True
