Outer_ID,Repeat,Fold,Target,Metric,Difference_k12_minus_k17
R03_F01,3,1,YS,NMAE,0.038279166280457716
R03_F01,3,1,YS,MAPE_Percent,1.5102766272533135
R03_F02,3,2,El,R2,0.10470895885092935
R03_F02,3,2,El,RMSE,-0.7195120270443547
R03_F02,3,2,El,MAE,-0.2970528351548385
R03_F02,3,2,El,NRMSE,-0.10186190614556312
R03_F02,3,2,El,NMAE,-0.042054012827432985
R03_F02,3,2,El,MAPE_Percent,-3.609320953139658
R03_F02,3,2,Macro,R2,0.05456570152140916
R03_F02,3,2,Macro,NRMSE,-0.05467026272905284
R03_F02,3,2,Macro,NMAE,-0.024186349103144877
R03_F02,3,2,UTS,R2,0.025872333334642117
R03_F02,3,2,UTS,RMSE,-2.7881148926711106
R03_F02,3,2,UTS,MAE,-0.8413868167623484
R03_F02,3,2,UTS,NRMSE,-0.02625195422706761
R03_F02,3,2,UTS,NMAE,-0.00792221592408704
R03_F02,3,2,UTS,MAPE_Percent,0.029348233597239037
R03_F02,3,2,YS,R2,0.033115812378655796
R03_F02,3,2,YS,RMSE,-4.370525974294743
R03_F02,3,2,YS,MAE,-2.749505350154415
R03_F02,3,2,YS,NRMSE,-0.03589692781452786
R03_F02,3,2,YS,NMAE,-0.022582818557914608
R03_F02,3,2,YS,MAPE_Percent,-0.1502839490632617
R03_F03,3,3,El,R2,0.14457361657035794
R03_F03,3,3,El,RMSE,-1.0513278280912512
R03_F03,3,3,El,MAE,-0.43154165071055317
R03_F03,3,3,El,NRMSE,-0.14574164226312958
R03_F03,3,3,El,NMAE,-0.059823004013586256
R03_F03,3,3,El,MAPE_Percent,-6.299004288429941
R03_F03,3,3,Macro,R2,0.04651620501698106
R03_F03,3,3,Macro,NRMSE,-0.04661769712078412
R03_F03,3,3,Macro,NMAE,-0.025219071872169485
R03_F03,3,3,UTS,R2,0.0027204740010934314
R03_F03,3,3,UTS,RMSE,-0.4195035547631605
R03_F03,3,3,UTS,MAE,-0.8697165796730815
R03_F03,3,3,UTS,NRMSE,-0.004033688938218982
R03_F03,3,3,UTS,NMAE,-0.008362661309970404
R03_F03,3,3,UTS,MAPE_Percent,-0.24354106438852519
R03_F03,3,3,YS,R2,-0.007745475520508305
R03_F03,3,3,YS,RMSE,1.2041254647528774
R03_F03,3,3,YS,MAE,-0.906719058892989
R03_F03,3,3,YS,NRMSE,0.00992223983899626
R03_F03,3,3,YS,NMAE,-0.007471550292951906
R03_F03,3,3,YS,MAPE_Percent,-0.055931925822916284
R03_F04,3,4,El,R2,0.05844558391048971
R03_F04,3,4,El,RMSE,-0.39380131007725083
R03_F04,3,4,El,MAE,-0.13036594870452278
R03_F04,3,4,El,NRMSE,-0.054817085485155514
R03_F04,3,4,El,NMAE,-0.018146921230626056
R03_F04,3,4,El,MAPE_Percent,0.06095384922904756
R03_F04,3,4,Macro,R2,0.028374028463959977
R03_F04,3,4,Macro,NRMSE,-0.02953390039341386
R03_F04,3,4,Macro,NMAE,-0.001985593881929093
R03_F04,3,4,UTS,R2,0.023668989636831617
