Feature_Count,Repeat,Fold,Outer_ID,Implementation,Chain_Order,Target,R2,RMSE,MAE,NRMSE,NMAE,MAPE_Percent
12,3,1,R03_F01,,,El,0.7714950775463282,3.5105591264761724,2.2663356922398634,0.48805203075181636,0.3150750912072685,18.446616987162624
12,3,1,R03_F01,,,Macro,0.8522177746727543,,,0.40497126296630886,0.28013913017952063,
12,3,2,R03_F02,,,YS,0.8271494908406609,47.714150490093914,34.904788330412195,0.39189594706637254,0.2866873860143042,11.532081166429247
12,3,2,R03_F02,,,UTS,0.8233885967295174,39.411253550864046,30.55746944915978,0.3710831382767856,0.2877188782223499,7.076177439309653
12,3,2,R03_F02,,,El,0.7332926726243525,3.995419938190913,2.6352510074377484,0.5656348684370579,0.3730746404508357,18.06736112662335
12,3,2,R03_F02,,,Macro,0.794610253398177,,,0.4428713179267387,0.3158269682291633,
12,3,3,R03_F03,,,YS,0.8567496218471636,43.929490736634605,30.241502687364186,0.36198797870561455,0.24919616064864072,9.603018127310854
12,3,3,R03_F03,,,UTS,0.889633116029625,34.24614638002432,24.947477128632666,0.32928994346119483,0.2398796419902784,5.678145040193817
12,3,3,R03_F03,,,El,0.8267310595661588,2.9665341087084443,2.0220985975574832,0.4112395213752792,0.2803159609700919,18.29868851944222
12,3,3,R03_F03,,,Macro,0.8577045991476492,,,0.3675058145140295,0.2564639212030037,
12,3,4,R03_F04,,,YS,0.8031241049801332,54.82993547423585,36.37987407407401,0.4609966450597828,0.3058730554903908,11.135722594077984
12,3,4,R03_F04,,,UTS,0.8506617517462631,40.82763380853376,25.870984567901182,0.3966419804041663,0.2513375769494899,5.8473873332504045
12,3,4,R03_F04,,,El,0.7275880881948543,3.8583161571651905,2.3800172839506186,0.5370770518122235,0.33129806217474433,24.747775483623503
12,3,4,R03_F04,,,Macro,0.7937913149737502,,,0.4649052257587242,0.29616956487154167,
12,3,5,R03_F05,,,YS,0.8759456334193985,40.059865566262786,29.886441154970683,0.32845721581417153,0.24504368932837445,8.967851033629154
12,3,5,R03_F05,,,UTS,0.8880276804649195,32.304628660767065,24.6764106938251,0.3060765183292122,0.23380147623242747,5.831366577273424
12,3,5,R03_F05,,,El,0.6740428943212096,3.4708585001906265,2.5631205302049187,0.4640592034015217,0.34269321881132697,23.166767596289116
12,3,5,R03_F05,,,Macro,0.8126720694018426,,,0.3661976458483018,0.27384612812404296,
12,4,1,R04_F01,,,YS,0.8966699309249451,41.51551360089196,28.672107588920106,0.3522581504142132,0.24328215434948458,9.525815270846243
12,4,1,R04_F01,,,UTS,0.9080236745149423,32.43081050405606,22.00431224321562,0.31504359171350665,0.21375714804972648,5.579597765632753
12,4,1,R04_F01,,,El,0.6519748757655995,4.288656343344345,2.5183610860646093,0.5943068662672361,0.3489855948731212,17.831242440808044
12,4,1,R04_F01,,,Macro,0.8188894937351624,,,0.42053620279831866,0.2686749657574441,
12,4,2,R04_F02,,,YS,0.857340675292466,54.26731627718344,41.86743783787792,0.48002112533833574,0.3703380967527377,17.538618522898417
12,4,2,R04_F02,,,UTS,0.8908420766646996,39.96751773724576,30.851887323326473,0.40533818999788923,0.31289028875571473,7.937577065325309
12,4,2,R04_F02,,,El,0.46508005317875867,6.359912709724838,3.6530679580782923,0.9420085198177274,0.5410799325470278,26.061393922229968
12,4,2,R04_F02,,,Macro,0.7377542683786414,,,0.6091226117179841,0.4081027726851601,
12,4,3,R04_F03,,,YS,0.8440278874070734,40.32543705243747,28.117024403251314,0.3238845516139648,0.22582941456341896,8.561125375160188
12,4,3,R04_F03,,,UTS,0.8590293241057521,33.859287743538445,23.134037941638802,0.31654910414135046,0.21627917991261567,5.4605804600781065
12,4,3,R04_F03,,,El,0.8434099541621598,2.5685499053108987,1.8886440425651212,0.3480492779689935,0.25591918381498857,24.028805832903295
12,4,3,R04_F03,,,Macro,0.8488223885583284,,,0.3294943112414362,0.2326759260970077,
12,4,4,R04_F04,,,YS,0.7002512717464031,60.11851494336248,42.09346685518429,0.48908867917065246,0.34244754923356147,12.29035519534199
12,4,4,R04_F04,,,UTS,0.7888860285401714,45.64612851940868,34.01658603045852,0.43496764479267463,0.3241482857251442,7.5412208544368475
12,4,4,R04_F04,,,El,0.7094373976651592,3.466252733280931,2.4552273576342687,0.46748832977293153,0.33113284718475455,21.360771043116163
12,4,4,R04_F04,,,Macro,0.732858232650578,,,0.4638482179120862,0.3325762273811534,
12,4,5,R04_F05,,,YS,0.7984521907081563,48.19462283141291,34.60779853061586,0.39037968114028804,0.2803254919663633,12.38989701357862
12,4,5,R04_F05,,,UTS,0.8254447376626696,40.143547605293776,27.932718418676064,0.37987813668655285,0.2643271374470534,7.07792446314407
12,4,5,R04_F05,,,El,0.720387961594066,3.5148993594194002,2.4039059460989503,0.47777958877233806,0.3267624693994803,21.802499755726853
12,4,5,R04_F05,,,Macro,0.781428296654964,,,0.4160124688663929,0.29047169960429897,
12,5,1,R05_F01,,,YS,0.9176111453846829,34.62395721792551,26.590184878868513,0.2876866106678882,0.22093488958199856,8.73878254347539
12,5,1,R05_F01,,,UTS,0.9372721828368145,26.292327715616796,18.914207444373805,0.2539861626638623,0.1827128818941113,4.756337575563744
12,5,1,R05_F01,,,El,0.7924665230644943,3.4105209176883404,2.2045269114229975,0.4762411569786967,0.30783756271413715,23.195406621443222
12,5,1,R05_F01,,,Macro,0.8824499504286639,,,0.3393046434368157,0.23716177806341565,
12,5,2,R05_F02,,,YS,0.8178418063406303,50.38579231080314,36.03431354166677,0.41726630184839686,0.2984155664046802,13.460257507565238
12,5,2,R05_F02,,,UTS,0.7824956548831943,49.71157719787612,35.45703124999992,0.4824985146466567,0.34414448054639424,9.326593213521056
12,5,2,R05_F02,,,El,0.7543062060764099,3.4306207995088442,2.1226874999999947,0.4697423514434604,0.29065183122902805,14.815168718314162
12,5,2,R05_F02,,,Macro,0.7848812224334115,,,0.456502389312838,0.31107062606003416,
12,5,3,R05_F03,,,YS,0.8307057149660583,49.78660713425964,33.18385075028205,0.41407418750089103,0.2759894041487831,12.044250077976956
12,5,3,R05_F03,,,UTS,0.8925449981748471,32.105641811547834,23.076851254645128,0.3052362358541147,0.21939730261986598,5.805300336570293
12,5,3,R05_F03,,,El,0.5764344257198718,5.189681842369469,3.2203475758354965,0.7409232740510397,0.4597643057789007,22.648929176825316
12,5,3,R05_F03,,,Macro,0.7665617129535924,,,0.48674456580201514,0.31838367084918323,
12,5,4,R05_F04,,,YS,0.8546950031614859,42.85694050560692,29.016307109409883,0.35507634080506006,0.24040456529409004,7.764979676438122
12,5,4,R05_F04,,,UTS,0.8517663264327336,38.11352423238895,26.686220610180232,0.36586965144228484,0.2561735874496058,5.708699361810352
12,5,4,R05_F04,,,El,0.7865975494039469,2.559066720381091,1.9459385664849569,0.33995352188016015,0.25850387712457834,21.606927733174512
12,5,4,R05_F04,,,Macro,0.8310196263327221,,,0.353633171375835,0.25169400995609137,
12,5,5,R05_F05,,,YS,0.8020045309947692,54.1458822885752,42.657882767489674,0.4514531059476932,0.355669403739668,14.84327913762156
12,5,5,R05_F05,,,UTS,0.8422433484483639,42.05278540854108,33.593825234176045,0.4070366025661854,0.3251607796648823,8.141410828875257
12,5,5,R05_F05,,,El,0.6679772544328124,4.344719176015861,2.5587343241720553,0.6095686523963827,0.35899310649030425,18.772315983040862
12,5,5,R05_F05,,,Macro,0.7707417112919819,,,0.4893527869700871,0.34660776329828485,
17,1,1,R01_F01,,,YS,0.804262462289045,53.356287099287904,43.10762686112452,0.44399103419939606,0.35870936439668,14.626801464534708
17,1,1,R01_F01,,,UTS,0.8271952731674537,43.274679442576286,32.5341976637099,0.4173202613445031,0.31374420438329287,7.7493051325818545
17,1,1,R01_F01,,,El,0.6348928020522919,4.357262347026444,3.167030798802855,0.6026844542871932,0.4380549245536737,30.3293026120044
17,1,1,R01_F01,,,Macro,0.7554501791695968,,,0.48799858327703083,0.3701694977778822,
17,1,2,R01_F02,,,YS,0.8492287125171338,53.963265950266454,41.88652752821886,0.4681095527995217,0.36334872110279626,14.023937310972961
17,1,2,R01_F02,,,UTS,0.8795884789096733,42.33540449326177,32.00640050352739,0.42867861062230334,0.32408948167855345,7.629394937810765
17,1,2,R01_F02,,,El,0.6979033096267617,4.287123184211258,2.7193153496472697,0.6069635929554618,0.3849960320896417,23.98225330627323
17,1,2,R01_F02,,,Macro,0.808906833684523,,,0.5012505854590956,0.35747807829033046,
17,1,3,R01_F03,,,YS,0.8433679252971793,45.38013536263344,30.362532037037194,0.3742546583991932,0.25040293434233807,10.79085188945083
17,1,3,R01_F03,,,UTS,0.8660788621508011,36.85359525593407,25.65638740740773,0.35390608114086136,0.246378988549981,6.638737876560674
17,1,3,R01_F03,,,El,0.7991903209980509,3.348307044492364,2.1765609259259193,0.46731619498832316,0.30377804560578187,16.156833661574623
17,1,3,R01_F03,,,Macro,0.8362123694820104,,,0.39849231150945924,0.2668533228327003,
17,1,4,R01_F04,,,YS,0.8877903475184957,38.79055520157611,27.2806277160493,0.32057614111185,0.22545483855216192,8.45335533571495
17,1,4,R01_F04,,,UTS,0.9045611979063589,31.66998394203539,22.101448456790084,0.30468746623050125,0.21263144126149516,5.324932711058157
17,1,4,R01_F04,,,El,0.7909838269445145,3.246530988924109,2.001625185185194,0.44776189634156116,0.2760643566136315,18.33605900429126
17,1,4,R01_F04,,,Macro,0.8611117907897897,,,0.35767516789463744,0.23805021214242952,
17,1,5,R01_F05,,,YS,0.840559609638914,41.28940339826916,28.57242868335771,0.3323596104936817,0.22999415071367563,8.51506115591991
17,1,5,R01_F05,,,UTS,0.8120518220356305,35.36136168086903,25.615613337676045,0.325955851290539,0.23612097088242798,5.466741902262835
17,1,5,R01_F05,,,El,0.6414511273907129,3.7633352917409915,2.200176496416748,0.506047240833532,0.2958527898914385,16.866128541641057
17,1,5,R01_F05,,,Macro,0.7646875196884192,,,0.38812090087258416,0.25398930382918067,
17,2,1,R02_F01,,,YS,0.7923024932600016,55.52714551604605,37.72427766316969,0.4626481380701239,0.31431593788415235,11.722485716140858
17,2,1,R02_F01,,,UTS,0.8286339681208217,43.88905973247101,30.294654426679042,0.4249383034211711,0.2933158999822318,7.007806369298219
17,2,1,R02_F01,,,El,0.5248215081021583,5.876573797291815,3.0793765908807718,0.8562058487796371,0.44865942956800253,23.34222643151858
17,2,1,R02_F01,,,Macro,0.7152526564943272,,,0.5812640967569774,0.3520970891447955,
17,2,2,R02_F02,,,YS,0.894136765383567,38.83177936227649,30.389273492417097,0.3255631765590904,0.2547817425313642,8.497305712733416
17,2,2,R02_F02,,,UTS,0.906372447397221,31.224336283657614,23.964866417101348,0.30210037969473774,0.2318638634355599,5.12909554542187
17,2,2,R02_F02,,,El,0.7774815921528642,3.054303888363196,1.945529552061606,0.4128414933557067,0.2629716475498467,16.055274918788577
17,2,2,R02_F02,,,Macro,0.8593302683112173,,,0.34683501653651166,0.24987241783892358,
17,2,3,R02_F03,,,YS,0.9164140648153571,33.03273765708388,21.856269795577692,0.2709352409767041,0.17926560569668087,7.423245312373851
17,2,3,R02_F03,,,UTS,0.8335020250734048,38.2777863927946,25.197517042885288,0.3608096909248561,0.2375139524272129,6.331600039565191
17,2,3,R02_F03,,,El,0.8451691400298401,2.692148760689972,1.7850908394145881,0.36828035020330663,0.24419671345198257,15.412504111766056
17,2,3,R02_F03,,,Macro,0.8650284099728673,,,0.3333417607016223,0.22032542385862544,
17,2,4,R02_F04,,,YS,0.7924176593210308,53.3185860597861,38.226647996797816,0.4411074067842015,0.31625102640592456,14.549792200739939
17,2,4,R02_F04,,,UTS,0.8343262253453154,41.59890299680473,30.157382511345208,0.4000737347880679,0.29003593324739796,7.568993268270027
17,2,4,R02_F04,,,El,0.6783898852564845,3.870836713051697,2.503204104562559,0.5283843420545359,0.34169714505336113,18.292196670651418
17,2,4,R02_F04,,,Macro,0.7683779233076103,,,0.4565218278756018,0.31599470156889453,
17,2,5,R02_F05,,,YS,0.8498945290746122,46.80841711706092,36.32267448535176,0.3906185826500745,0.3031145357905452,13.168327518841188
17,2,5,R02_F05,,,UTS,0.8659449777669751,39.15375602360261,29.366134589702096,0.38277334536386104,0.28708800173678456,7.886611687581333
17,2,5,R02_F05,,,El,0.7730166657423817,3.4111331033410695,2.4651300947971757,0.4709293485444331,0.34032741451309917,22.768679624481834
17,2,5,R02_F05,,,Macro,0.8296187241946563,,,0.41477375885278955,0.31017665068014294,
17,3,1,R03_F01,,,YS,0.9027763310394341,39.8221951453654,26.853492654321187,0.3372849844599481,0.22744300808997867,10.60333992518519
17,3,1,R03_F01,,,UTS,0.9071993782679282,34.85739642823311,22.63882777777773,0.34700536029076934,0.22536951679000206,6.220738190990378
