Original_Index,Residual_YS,AbsoluteResidual_YS,NormalizedNonconformity_YS,Residual_UTS,AbsoluteResidual_UTS,NormalizedNonconformity_UTS,Residual_El,AbsoluteResidual_El,NormalizedNonconformity_El
72,-70.33256999999912,70.33256999999912,2.377930777777238,34.50429125000221,34.50429125000221,1.993734950352583,-6.22064312499996,6.22064312499996,2.3760686814064695
73,-33.50076562500021,33.50076562500021,2.2034945118531373,-32.06029750000016,32.06029750000016,2.358422402645854,0.1191712500000115,0.1191712500000115,0.16559837442433692
75,125.30284374999997,125.30284374999997,4.492501766657506,101.17802499999948,101.17802499999948,4.853222325761886,-4.520905000000008,4.520905000000008,8.560237666173885
76,-118.07358749999867,118.07358749999867,3.2296125670961215,-113.37015624999776,113.37015624999776,5.629231532027468,2.7029275000000297,2.7029275000000297,0.8877524038507132
77,16.264718749999986,16.264718749999986,1.3773582055915032,20.47523124999998,20.47523124999998,2.041829687324237,0.036103124999947056,0.036103124999947056,0.09848318562461338
78,12.57074375000002,12.57074375000002,1.0617885287960545,8.180731249999894,8.180731249999894,0.8175972794218971,0.3665887499999476,0.3665887499999476,0.9831423522611481
79,26.230556250000006,26.230556250000006,4.12758388251865,19.55814375,19.55814375,3.942603340495557,-0.6412225000000245,0.6412225000000245,1.989340638720603
82,1.7979687499999955,1.7979687499999955,0.19508919139549882,1.541868749999935,1.541868749999935,0.18496509678006698,0.3844031249999613,0.3844031249999613,0.989505092365542
90,8.744087916666672,8.744087916666672,1.2133485337788612,5.591066666666563,5.591066666666563,1.1811540762075554,-0.7409972916666718,0.7409972916666718,5.722060103598482
93,-14.204825000000142,14.204825000000142,0.6314644966730091,-6.778756249999901,6.778756249999901,0.31751023777710785,-1.9278912500000502,1.9278912500000502,5.43301217055406
101,-51.14521187500014,51.14521187500014,2.4975621264911805,-51.05366125000012,51.05366125000012,4.7611514053515895,1.0434143750000464,1.0434143750000464,1.4906820628222184
113,8.204475000000684,8.204475000000684,0.4527930962559598,1.940756250000618,1.940756250000618,0.12018852867158195,0.5678262499999089,0.5678262499999089,1.0660681939241912
116,41.12881062500003,41.12881062500003,3.481099045752111,21.60003999999958,21.60003999999958,1.5281002818139513,-6.208810625000016,6.208810625000016,10.635919857387988
117,-10.181218750000198,10.181218750000198,0.5596545987569943,-32.20278750000057,32.20278750000057,1.661468573048816,-3.232477500000016,3.232477500000016,4.833658519643809
124,10.568960624999931,10.568960624999931,1.0779148658812099,5.999233749999803,5.999233749999803,0.9557637355286117,2.3124631249999617,2.3124631249999617,1.069428111498564
132,8.663212499999418,8.663212499999418,2.636542945645646,10.81628749999868,10.81628749999868,6.614619855875849,-0.04783125000002286,0.04783125000002286,0.09652698465624243
137,-6.888662500000635,6.888662500000635,2.0652289145345124,-16.544768750001253,16.544768750001253,10.095562292071632,-0.23641875000001988,0.23641875000001988,0.5043767595564262
140,10.168964999999844,10.168964999999844,0.503044336269724,7.760148749997882,7.760148749997882,0.6377649998679179,-0.2360424999999271,0.2360424999999271,0.20306642361078964
153,-37.806348958333444,37.806348958333444,1.1865903216718336,-46.973992708333355,46.973992708333355,1.122485108305445,4.163970208333321,4.163970208333321,1.2072063274014537
165,-11.826793749998842,11.826793749998842,0.46186107647613994,-8.710993749997783,8.710993749997783,0.6056638647520235,-0.5784681249999792,0.5784681249999792,0.38353065477081333
180,30.51150229166649,30.51150229166649,1.0245376586338277,12.520366666666746,12.520366666666746,0.6361054849130262,-0.397650000000068,0.397650000000068,0.24324211604578697
