Feature_Count,Feature,Mandatory,Selection_Frequency,Mean_Rank,Rank_SD,Mean_Normalized_Hybrid_Feature_Score,Hybrid_Score_SD
7,Zn,False,1.0,4.0,0.0,1.0,0.0
7,Zr,False,1.0,7.0,0.0,0.2333390817352723,0.004076587424416254
7,tage,True,1.0,3.0,0.0,0.22448152532048557,0.08794284343664521
8,Cu,False,1.0,6.2272727272727275,0.5284134548067253,0.33123137308827605,0.03704312767825973
8,Fe,False,1.0,7.5625,0.6291528696058958,0.27418576209543444,0.0681656607886257
8,Mg,False,1.0,5.0,0.0,0.5552458601120283,0.12005928052733275
8,Sc,False,1.0,7.0,1.4142135623730951,0.4455082749883291,0.052433074739212826
8,Si,False,1.0,7.666666666666667,0.5773502691896258,0.3543789882546093,0.07869203842418045
8,Tage,True,1.0,2.0,0.0,0.476849221198909,0.058766150196653565
8,Ti,False,1.0,6.958333333333333,0.6240935455708447,0.30060611768953893,0.06437210885884317
8,Tsol,True,1.0,1.0,0.0,0.5862561956509215,0.08806196726688886
8,Zn,False,1.0,4.0,0.0,1.0,0.0
8,Zr,False,1.0,7.875,0.3535533905932738,0.23939399079936297,0.02442841091709655
8,tage,True,1.0,3.0,0.0,0.23563924036205455,0.1050794004391436
9,Cu,False,1.0,6.375,0.7109393663377318,0.3287071564291983,0.032273330486709315
9,Fe,False,1.0,8.083333333333334,0.9286112429750728,0.26046658632324043,0.046392146451578735
9,Mg,False,1.0,5.0,0.0,0.5605534796750452,0.08865258659527575
9,Sc,False,1.0,9.0,0.0,0.33473721060829864,0.010275173018883125
9,Si,False,1.0,8.5,0.7559289460184544,0.27471396857282926,0.06046291454925634
9,Tage,True,1.0,2.0,0.0,0.4730377638308646,0.04290055074914809
9,Ti,False,1.0,6.92,0.5715476066494084,0.3010264021722174,0.041322731015368076
9,Tsol,True,1.0,1.0,0.0,0.5874488834707849,0.06269176193941903
9,Zn,False,1.0,4.0,0.0,1.0,0.0
9,Zr,False,1.0,8.470588235294118,0.6242642728467979,0.23787703969602703,0.040840540375213626
9,tage,True,1.0,3.0,0.0,0.22967889745037268,0.07468886773940422
10,Cr,False,1.0,10.0,0.0,0.18320840069986008,0.0643647658099387
10,Cu,False,1.0,6.791666666666667,1.284664282542556,0.3290722203720436,0.03315755964219471
10,Fe,False,1.0,8.08,0.9092121131323901,0.2805754032478272,0.05434990753530036
10,Mg,False,1.0,5.0,0.0,0.5956905549800795,0.10087546432027905
10,Mn,False,1.0,10.0,,0.14628782847021057,
10,Sc,False,1.0,9.5,0.7071067811865476,0.2873214386832394,0.06918706759576906
10,Si,False,1.0,9.222222222222221,1.165966176260275,0.2522434618424596,0.07337878413371562
10,Tage,True,1.0,2.0,0.0,0.4680634597681014,0.04989917744999285
10,Ti,False,1.0,6.8,0.5773502691896257,0.31894617394929214,0.05242031140627405
10,Tsol,True,1.0,1.0,0.0,0.6136732496791756,0.07045227934966418
10,Zn,False,1.0,4.0,0.0,1.0,0.0
10,Zr,False,1.0,8.7,0.8645047258706174,0.24794850626898332,0.044210947536688215
10,tage,True,1.0,3.0,0.0,0.2058888558254401,0.09103472642271859
11,Cr,False,1.0,10.571428571428571,0.7867957924694431,0.21174044372769507,0.07445100941076069
11,Cu,False,1.0,7.041666666666667,1.545798419465872,0.3269825104340051,0.029249739200004277
11,Fe,False,1.0,8.04,0.7895146188218006,0.28686568855241346,0.05461354419764812
11,Li,False,1.0,11.0,0.0,0.18180164595154732,0.06959033538820919
11,Mg,False,1.0,5.0,0.0,0.6070938563420826,0.11012246780443223
11,Mn,False,1.0,10.333333333333334,0.5773502691896257,0.15583141682773835,0.02226420982486041
11,Sc,False,1.0,9.941176470588236,1.3906198364081266,0.26161535128084623,0.08046348335296896
11,Si,False,1.0,9.363636363636363,1.2926699776028188,0.26250202290905933,0.0716472207425642
11,Tage,True,1.0,2.0,0.0,0.45689331197814215,0.05087286692189927
11,Ti,False,1.0,6.8,0.7637626158259736,0.3236800217705935,0.06608586051845756
11,Tsol,True,1.0,1.0,0.0,0.6161990797449218,0.07763598235632961
11,Zn,False,1.0,4.0,0.0,1.0,0.0
11,Zr,False,1.0,9.25,1.1515584902738285,0.2546254599161057,0.04809167001760469
11,tage,True,1.0,3.0,0.0,0.19520990336465696,0.09754714449980484
12,Cr,False,1.0,11.705882352941176,0.5878675320972553,0.2328502499035153,0.06932915307154806
12,Cu,False,1.0,8.44,2.4846193538112296,0.3124261821488894,0.03476884111558949
12,Fe,False,1.0,7.96,0.8406346808612327,0.3082748235242073,0.07964601607536724
12,Li,False,1.0,11.75,0.7071067811865476,0.19563366478454747,0.041776776574986664
12,Mg,False,1.0,5.0,0.0,0.6552573840708356,0.12257077438745272
12,Mn,False,1.0,11.5,0.7071067811865476,0.13744489945669514,0.03009240621528806
12,Sc,False,1.0,9.478260869565217,1.5335509956067592,0.2892462466558134,0.09986091200825024
12,Si,False,1.0,9.36,1.036018017861337,0.2797101710748198,0.08242044290582366
12,Tage,True,1.0,2.0,0.0,0.43993167077787604,0.05311039720687133
12,Ti,False,1.0,6.52,0.714142842854285,0.3458356981851541,0.08248356683657943
12,Tsol,True,1.0,1.0,0.0,0.648650940100894,0.09155999413595463
12,Zn,False,1.0,4.0,0.0,1.0,0.0
12,Zr,False,1.0,9.36,1.254325848148452,0.27789676783752265,0.06443234441549929
12,tage,True,1.0,3.0,0.0,0.15260893014700547,0.10264252107045477
13,Be,False,1.0,13.0,0.0,0.2630467704339617,0.009805727687160915
13,Cr,False,1.0,11.956521739130435,0.9282564726687249,0.2114130949964232,0.06677985663258437
13,Cu,False,1.0,8.32,2.2308443842336176,0.3123860357929129,0.031472919304780994
13,Fe,False,1.0,7.88,0.8812869377601523,0.2972264163589167,0.07474988767218285
13,Li,False,1.0,12.272727272727273,1.0319569104061779,0.17512537879688983,0.03843550712471173
13,Mg,False,1.0,5.0,0.0,0.6303268817788776,0.137055545249949
13,Mn,False,1.0,11.125,1.1259916264596033,0.14329635373306207,0.01909110033328502
13,Sc,False,1.0,9.55,2.139232523470435,0.2856464527565174,0.10303407939337095
13,Si,False,1.0,9.6,1.6832508230603465,0.2585378566713178,0.09540900967332502
13,Tage,True,1.0,2.0,0.0,0.444635120159366,0.062052685178880414
13,Ti,False,1.0,6.76,0.8793937305515281,0.3332730521424873,0.08331561757519304
13,Tsol,True,1.0,1.0,0.0,0.6300642027488859,0.09966341627942764
13,Zn,False,1.0,4.0,0.0,1.0,0.0
13,Zr,False,1.0,9.4,1.3844373104863459,0.262954791746828,0.05614060694316007
13,tage,True,1.0,3.0,0.0,0.17334823900461824,0.11132957059191276
14,Be,False,1.0,13.857142857142858,0.37796447300922714,0.1760451248167623,0.047834479732292975
14,Cr,False,1.0,12.12,0.9273618495495701,0.19705098876677224,0.06731600189680358
14,Cu,False,1.0,8.24,2.437211521390788,0.3108621667410219,0.035871547331942255
14,Fe,False,1.0,8.04,0.8888194417315588,0.2963960315284026,0.08961734084939124
14,Li,False,1.0,12.48,1.0049875621120887,0.18062248798959243,0.04948646611167714
14,Mg,False,1.0,5.0,0.0,0.6208903740458109,0.1545707535714054
14,Mn,False,1.0,12.8125,1.3768926368215255,0.13331315873421634,0.018723696628655053
14,Ni,False,1.0,14.0,0.0,0.1384907306517597,0.03345519805043745
14,Sc,False,1.0,10.68,2.3930454794396763,0.24545815808822588,0.11966277609593508
14,Si,False,1.0,9.32,1.7253019059476715,0.2599189497074834,0.1064403028651567
14,Tage,True,1.0,2.0,0.0,0.43530433319229284,0.060726154954559575
14,Ti,False,1.0,6.92,0.9539392014169454,0.3288495262676451,0.09379964365359503
14,Tsol,True,1.0,1.0,0.0,0.6247636765415036,0.11011657483668322
14,Zn,False,1.0,4.0,0.0,1.0,0.0
14,Zr,False,1.0,9.0,1.3844373104863459,0.2653509150790627,0.053580506707899364
14,tage,True,1.0,3.0,0.0,0.17328628424775105,0.11639858678653735
15,Be,False,1.0,14.523809523809524,0.6015852075182383,0.11064691685611457,0.05376619430549045
15,Cr,False,1.0,12.12,0.8326663997864531,0.19761247011867136,0.0661840110845779
15,Cu,False,1.0,7.92,2.379075450674064,0.31596606373596114,0.0320713882534704
15,Fe,False,1.0,8.04,0.8888194417315588,0.2952643387701903,0.07974554677058611
15,Li,False,1.0,12.56,0.8205689083394117,0.18108665308381366,0.04451243963048843
15,Mg,False,1.0,5.0,0.0,0.6243872995951305,0.14224054061746141
15,Mn,False,1.0,13.333333333333334,1.4552137502179976,0.12488137036232178,0.021092785251200966
15,Ni,False,1.0,15.0,0.0,0.0878212349853956,0.0538218986744022
