Run_ID,Repeat,Outer_Fold,Outer_ID,Feature_Count,Model_Family,Derived_Seed,Search_Independent_Fixed_k,Index_Hash,Search_Stage
R01_F02_k08_Native_ET_Physics,1,2,R01_F02,8,Native_ET_Physics,1052,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k08_Native_RF_Physics,1,2,R01_F02,8,Native_RF_Physics,1052,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k08_RegressorChain_ET_Physics,1,2,R01_F02,8,RegressorChain_ET_Physics,1052,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k09_Independent_ET_Physics,1,2,R01_F02,9,Independent_ET_Physics,1053,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k09_Native_ET_Physics,1,2,R01_F02,9,Native_ET_Physics,1053,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k09_Native_RF_Physics,1,2,R01_F02,9,Native_RF_Physics,1053,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k09_RegressorChain_ET_Physics,1,2,R01_F02,9,RegressorChain_ET_Physics,1053,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k10_Independent_ET_Physics,1,2,R01_F02,10,Independent_ET_Physics,1054,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k10_Native_ET_Physics,1,2,R01_F02,10,Native_ET_Physics,1054,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k10_Native_RF_Physics,1,2,R01_F02,10,Native_RF_Physics,1054,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k10_RegressorChain_ET_Physics,1,2,R01_F02,10,RegressorChain_ET_Physics,1054,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k11_Independent_ET_Physics,1,2,R01_F02,11,Independent_ET_Physics,1055,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k11_Native_ET_Physics,1,2,R01_F02,11,Native_ET_Physics,1055,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k11_Native_RF_Physics,1,2,R01_F02,11,Native_RF_Physics,1055,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k11_RegressorChain_ET_Physics,1,2,R01_F02,11,RegressorChain_ET_Physics,1055,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k12_Independent_ET_Physics,1,2,R01_F02,12,Independent_ET_Physics,1056,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k12_Native_ET_Physics,1,2,R01_F02,12,Native_ET_Physics,1056,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k12_Native_RF_Physics,1,2,R01_F02,12,Native_RF_Physics,1056,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k12_RegressorChain_ET_Physics,1,2,R01_F02,12,RegressorChain_ET_Physics,1056,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k13_Independent_ET_Physics,1,2,R01_F02,13,Independent_ET_Physics,1057,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k13_Native_ET_Physics,1,2,R01_F02,13,Native_ET_Physics,1057,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k13_Native_RF_Physics,1,2,R01_F02,13,Native_RF_Physics,1057,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
R01_F02_k13_RegressorChain_ET_Physics,1,2,R01_F02,13,RegressorChain_ET_Physics,1057,True,7648fdd6882918847b741eec2aa06ff546fb5bf7658f4ffbf72b2877762af77d,outer_fixed_k
