Feature_Count,Repeat,Fold,Outer_ID,Implementation,Chain_Order,Target,R2,RMSE,MAE,NRMSE,NMAE,MAPE_Percent,Validation_Type
,2,5,R02_F05,Fixed_k12_Native_ET,Not applicable,YS,0.8466937364080471,47.30484720449356,35.48248761574103,0.3947613165659179,0.296103134329398,11.426768039966923,Fixed_Rowwise
,2,5,R02_F05,Fixed_k12_Native_ET,Not applicable,UTS,0.8954903527434435,34.570851511763465,26.720379513889174,0.3379701420537538,0.26122267937098553,6.833431492055772,Fixed_Rowwise
,2,5,R02_F05,Fixed_k12_Native_ET,Not applicable,El,0.6546363451582311,4.207653768521684,2.8006630787036957,0.5808942624284105,0.3866499486210472,24.303523952524998,Fixed_Rowwise
,2,5,R02_F05,Fixed_k12_Native_ET,Not applicable,Macro,0.7989401447699072,,,0.4378752403493607,0.3146585874404769,,Fixed_Rowwise
,3,1,R03_F01,Fixed_k12_Native_ET,Not applicable,YS,0.8967894278108945,41.02997818392601,26.708627527006442,0.34751463357659945,0.22621603323244552,10.731532758264972,Fixed_Rowwise
,3,1,R03_F01,Fixed_k12_Native_ET,Not applicable,UTS,0.9014244324191689,35.92560957679469,22.60459292052442,0.357639421536483,0.22502870880681988,6.136770647044011,Fixed_Rowwise
,3,1,R03_F01,Fixed_k12_Native_ET,Not applicable,El,0.7226266916064199,3.8677718237884746,2.244690682870359,0.5377131747612609,0.3120659150624325,17.00022869117879,Fixed_Rowwise
,3,1,R03_F01,Fixed_k12_Native_ET,Not applicable,Macro,0.8402801839454944,,,0.4142890766247811,0.25443688570056594,,Fixed_Rowwise
,3,2,R03_F02,Fixed_k12_Native_ET,Not applicable,YS,0.8276065260332535,47.65102808393803,34.87061277006192,0.39137749677673145,0.2864066880776873,11.356679840218007,Fixed_Rowwise
,3,2,R03_F02,Fixed_k12_Native_ET,Not applicable,UTS,0.8187472694643736,39.925756794671045,30.87197017746966,0.37592752816961356,0.2906801115437145,7.128664454646956,Fixed_Rowwise
,3,2,R03_F02,Fixed_k12_Native_ET,Not applicable,El,0.741886968007158,3.9305192265091065,2.6147154706790263,0.5564468216030543,0.3701674077162302,18.21813834314129,Fixed_Rowwise
,3,2,R03_F02,Fixed_k12_Native_ET,Not applicable,Macro,0.7960802545015951,,,0.4412506155164664,0.31575140244587735,,Fixed_Rowwise
,3,3,R03_F03,Fixed_k12_Native_ET,Not applicable,YS,0.8589256670766967,43.5945584018476,29.94450949074085,0.3592280678384578,0.24674887603112647,9.556124079070415,Fixed_Rowwise
,3,3,R03_F03,Fixed_k12_Native_ET,Not applicable,UTS,0.8898758777305629,34.20846193549459,25.0539905092593,0.3289275929511299,0.2409038093431594,5.7295184755550475,Fixed_Rowwise
,3,3,R03_F03,Fixed_k12_Native_ET,Not applicable,El,0.8224120394454759,3.003279462313535,1.982301620370373,0.4163333922277879,0.2747990549609662,17.453147073735998,Fixed_Rowwise
,3,3,R03_F03,Fixed_k12_Native_ET,Not applicable,Macro,0.8570711947509118,,,0.36816301767245857,0.2541505801117507,,Fixed_Rowwise
,3,4,R03_F04,Fixed_k12_Native_ET,Not applicable,YS,0.8411845944170271,49.245638879558356,32.49779567901286,0.41404524938697995,0.2732334928043616,9.922801849356043,Fixed_Rowwise
,3,4,R03_F04,Fixed_k12_Native_ET,Not applicable,UTS,0.8762664054874193,37.163148371409555,23.09559837963006,0.36104136813847665,0.22437459694274428,5.266091696106757,Fixed_Rowwise
,3,4,R03_F04,Fixed_k12_Native_ET,Not applicable,El,0.7212644933803875,3.9028414781870207,2.286921064814813,0.5432749700675713,0.31833908191713384,23.65217953961842,Fixed_Rowwise
,3,4,R03_F04,Fixed_k12_Native_ET,Not applicable,Macro,0.8129051644282779,,,0.4394538625310093,0.27198239055474654,,Fixed_Rowwise
,3,5,R03_F05,Fixed_k12_Native_ET,Not applicable,YS,0.8830339578204872,38.898545027173796,28.301378472222517,0.31893536381728854,0.2320475080305306,8.506499585096073,Fixed_Rowwise
,3,5,R03_F05,Fixed_k12_Native_ET,Not applicable,UTS,0.891643748288128,31.778720148210706,23.778839583333948,0.3010936953358485,0.22529726331182942,5.723842332965589,Fixed_Rowwise
,3,5,R03_F05,Fixed_k12_Native_ET,Not applicable,El,0.6772154352619844,3.453926263892435,2.5832174768518605,0.46179533695812924,0.3453802119720307,22.63187362492662,Fixed_Rowwise
,3,5,R03_F05,Fixed_k12_Native_ET,Not applicable,Macro,0.8172977137901999,,,0.3606081320370887,0.26757499443813026,,Fixed_Rowwise
,4,1,R04_F01,Fixed_k12_Native_ET,Not applicable,YS,0.8922951788469713,42.38523810175107,29.273208506944712,0.3596377422214545,0.24838248141351213,9.706291020425608,Fixed_Rowwise
,4,1,R04_F01,Fixed_k12_Native_ET,Not applicable,UTS,0.9046632748688714,33.017933597613265,22.229499942130182,0.3207470991281324,0.21594469564329868,5.678263073076276,Fixed_Rowwise
,4,1,R04_F01,Fixed_k12_Native_ET,Not applicable,El,0.6466262925991717,4.321485546497532,2.5913804976851798,0.5988562214232629,0.35910436733299567,18.383458304017154,Fixed_Rowwise
,4,1,R04_F01,Fixed_k12_Native_ET,Not applicable,Macro,0.8145282487716715,,,0.42641368759094994,0.2744771814632688,,Fixed_Rowwise
,4,2,R04_F02,Fixed_k12_Native_ET,Not applicable,YS,0.8451369617543574,56.54082620692136,39.83898024691399,0.5001314397929225,0.3523953908606281,17.135948374029294,Fixed_Rowwise
,4,2,R04_F02,Fixed_k12_Native_ET,Not applicable,UTS,0.889060915828531,40.292278961515976,30.17457160493832,0.4086318177806453,0.30602116245286387,7.8708652914501185,Fixed_Rowwise
,4,2,R04_F02,Fixed_k12_Native_ET,Not applicable,El,0.4757369804392426,6.296241402832429,3.4471941743827155,0.9325777435951441,0.5105866117893698,22.148681553442287,Fixed_Rowwise
,4,2,R04_F02,Fixed_k12_Native_ET,Not applicable,Macro,0.7366449526740437,,,0.613780333722904,0.38966772170095393,,Fixed_Rowwise
,4,3,R04_F03,Fixed_k12_Native_ET,Not applicable,YS,0.8360941014075591,41.33832708947433,26.09368634259276,0.33201984931832296,0.20957843283970684,8.051585871985369,Fixed_Rowwise
,4,3,R04_F03,Fixed_k12_Native_ET,Not applicable,UTS,0.8859813775016231,30.45098336694953,20.272897685184958,0.2846850051318798,0.18953049601048438,4.775122342675955,Fixed_Rowwise
,4,3,R04_F03,Fixed_k12_Native_ET,Not applicable,El,0.833465714946632,2.64885241185544,1.7916646990740903,0.3589306041850574,0.2427780762935154,16.399286938454924,Fixed_Rowwise
,4,3,R04_F03,Fixed_k12_Native_ET,Not applicable,Macro,0.8518470646186048,,,0.3252118195450867,0.2139623350479022,,Fixed_Rowwise
,4,4,R04_F04,Fixed_k12_Native_ET,Not applicable,YS,0.7021196312878956,59.930860138256406,41.96466751543171,0.487562030668842,0.3413997139865167,12.360966843408674,Fixed_Rowwise
,4,4,R04_F04,Fixed_k12_Native_ET,Not applicable,UTS,0.7931536859692676,45.18240602298578,33.38377534722202,0.43054877535842057,0.31811815389545384,7.4393446408949,Fixed_Rowwise
