Original_Index,Data_Split,Composition_ID,Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc
81,Calibration,COMP-a14831ff30c0b14d,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0
82,Final_Test,COMP-a14831ff30c0b14d,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0
83,Proper_Training,COMP-e913f917a7e36868,0.0,0.0,1.07,0.0,1.07,0.0,3.4,0.0,0.0,0.1,1.8,0.0,0.0,0.0
84,Proper_Training,COMP-a14831ff30c0b14d,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0
85,Proper_Training,COMP-e913f917a7e36868,0.0,0.0,1.07,0.0,1.07,0.0,3.4,0.0,0.0,0.1,1.8,0.0,0.0,0.0
86,Proper_Training,COMP-ea2a626c3522e4a5,0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0
87,Proper_Training,COMP-a14831ff30c0b14d,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0
88,Proper_Training,COMP-ea2a626c3522e4a5,0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0
89,Calibration,COMP-e913f917a7e36868,0.0,0.0,1.07,0.0,1.07,0.0,3.4,0.0,0.0,0.1,1.8,0.0,0.0,0.0
90,Final_Test,COMP-ea2a626c3522e4a5,0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0
91,Calibration,COMP-ea2a626c3522e4a5,0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0
92,Proper_Training,COMP-ea2a626c3522e4a5,0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0
93,Final_Test,COMP-a14831ff30c0b14d,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0
94,Proper_Training,COMP-ea2a626c3522e4a5,0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0
95,Proper_Training,COMP-ea2a626c3522e4a5,0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0
96,Proper_Training,COMP-ea2a626c3522e4a5,0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0
97,Proper_Training,COMP-a14831ff30c0b14d,0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0
98,Proper_Training,COMP-e913f917a7e36868,0.0,0.0,1.07,0.0,1.07,0.0,3.4,0.0,0.0,0.1,1.8,0.0,0.0,0.0
99,Proper_Training,COMP-ea2a626c3522e4a5,0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0
100,Proper_Training,COMP-ea2a626c3522e4a5,0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0
101,Final_Test,COMP-e913f917a7e36868,0.0,0.0,1.07,0.0,1.07,0.0,3.4,0.0,0.0,0.1,1.8,0.0,0.0,0.0
102,Proper_Training,COMP-435a8f4ba56d8b5d,0.0,0.0,0.37,0.28,1.96,0.0,5.45,0.0,0.0,0.11,0.0,0.0,0.0,0.26
103,Proper_Training,COMP-435a8f4ba56d8b5d,0.0,0.0,0.37,0.28,1.96,0.0,5.45,0.0,0.0,0.11,0.0,0.0,0.0,0.26
104,Proper_Training,COMP-435a8f4ba56d8b5d,0.0,0.0,0.37,0.28,1.96,0.0,5.45,0.0,0.0,0.11,0.0,0.0,0.0,0.26
105,Proper_Training,COMP-435a8f4ba56d8b5d,0.0,0.0,0.37,0.28,1.96,0.0,5.45,0.0,0.0,0.11,0.0,0.0,0.0,0.26
106,Proper_Training,COMP-435a8f4ba56d8b5d,0.0,0.0,0.37,0.28,1.96,0.0,5.45,0.0,0.0,0.11,0.0,0.0,0.0,0.26
107,Proper_Training,COMP-384273ac244080b1,0.0,0.0,0.22,0.0,2.46,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Calibration,COMP-384273ac244080b1,0.0,0.0,0.22,0.0,2.46,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Calibration,COMP-384273ac244080b1,0.0,0.0,0.22,0.0,2.46,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Proper_Training,COMP-c1d72bb5d7d164b0,0.0,0.0,0.19,0.0,2.49,0.0,6.72,0.0,0.0,0.16,0.0,0.0,0.0,0.1
111,Proper_Training,COMP-c1d72bb5d7d164b0,0.0,0.0,0.19,0.0,2.49,0.0,6.72,0.0,0.0,0.16,0.0,0.0,0.0,0.1
112,Proper_Training,COMP-c1d72bb5d7d164b0,0.0,0.0,0.19,0.0,2.49,0.0,6.72,0.0,0.0,0.16,0.0,0.0,0.0,0.1
113,Final_Test,COMP-941f92def7f50542,0.0,0.0,0.22,0.0,2.49,0.0,7.11,0.0,0.0,0.4,0.0,0.0,0.0,0.22
114,Proper_Training,COMP-6360354242bed7fe,0.16,0.11,2.42,0.1,2.07,0.0,5.87,0.0,0.05,0.1,0.0,0.0,0.0,0.0
115,Proper_Training,COMP-15c7378d46cadefa,0.0,0.0,2.24,0.0,1.95,0.0,7.82,0.0,0.0,0.16,0.0,0.0,0.0,0.0
116,Final_Test,COMP-15c7378d46cadefa,0.0,0.0,2.24,0.0,1.95,0.0,7.82,0.0,0.0,0.16,0.0,0.0,0.0,0.0
117,Final_Test,COMP-15c7378d46cadefa,0.0,0.0,2.24,0.0,1.95,0.0,7.82,0.0,0.0,0.16,0.0,0.0,0.0,0.0
118,Proper_Training,COMP-8bbe9ce01fb6a2d3,0.0,0.0,2.24,0.0,1.93,0.0,7.81,0.0,0.0,0.16,0.0,0.0,0.0,0.25
119,Calibration,COMP-8bbe9ce01fb6a2d3,0.0,0.0,2.24,0.0,1.93,0.0,7.81,0.0,0.0,0.16,0.0,0.0,0.0,0.25
120,Proper_Training,COMP-8bbe9ce01fb6a2d3,0.0,0.0,2.24,0.0,1.93,0.0,7.81,0.0,0.0,0.16,0.0,0.0,0.0,0.25
121,Proper_Training,COMP-b2e9edd7bc55d085,0.08,0.16,0.34,0.33,1.91,0.0,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Proper_Training,COMP-b2e9edd7bc55d085,0.08,0.16,0.34,0.33,1.91,0.0,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Proper_Training,COMP-0ee2ef468faff8db,0.11,0.18,0.33,0.32,1.98,0.0,5.41,0.0,0.0,0.1,0.0,0.0,0.0,0.25
124,Final_Test,COMP-0ee2ef468faff8db,0.11,0.18,0.33,0.32,1.98,0.0,5.41,0.0,0.0,0.1,0.0,0.0,0.0,0.25
125,Proper_Training,COMP-0ee2ef468faff8db,0.11,0.18,0.33,0.32,1.98,0.0,5.41,0.0,0.0,0.1,0.0,0.0,0.0,0.25
126,Proper_Training,COMP-5502f8bc72167a0b,0.0,0.0,0.39,0.28,2.02,0.0,5.48,0.0,0.0,0.11,0.0,0.0,0.0,0.26
127,Proper_Training,COMP-5502f8bc72167a0b,0.0,0.0,0.39,0.28,2.02,0.0,5.48,0.0,0.0,0.11,0.0,0.0,0.0,0.26
128,Calibration,COMP-5502f8bc72167a0b,0.0,0.0,0.39,0.28,2.02,0.0,5.48,0.0,0.0,0.11,0.0,0.0,0.0,0.26
129,Calibration,COMP-5502f8bc72167a0b,0.0,0.0,0.39,0.28,2.02,0.0,5.48,0.0,0.0,0.11,0.0,0.0,0.0,0.26
130,Proper_Training,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
131,Calibration,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
132,Final_Test,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
133,Proper_Training,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
134,Proper_Training,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
135,Proper_Training,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
136,Calibration,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
137,Final_Test,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
138,Proper_Training,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
139,Proper_Training,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
140,Final_Test,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
141,Proper_Training,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
142,Proper_Training,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
143,Proper_Training,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
144,Proper_Training,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
145,Proper_Training,COMP-89919c53d3149a2d,0.18,0.11,0.33,0.32,1.98,0.0,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.25
146,Proper_Training,COMP-266a388f7afdbe91,0.0,0.0,1.22,0.0,0.63,0.0,0.92,0.0,0.0,0.1,2.57,0.0,0.0,0.0
147,Proper_Training,COMP-055230aabe7d502c,0.0,0.0,1.1,0.0,0.61,0.0,2.08,0.0,0.0,0.12,2.38,0.0,0.0,0.0
148,Proper_Training,COMP-150ce51691dfb5f9,0.0,0.0,1.22,0.0,0.61,0.0,0.0,0.0,0.0,0.08,2.49,0.0,0.0,0.0
149,Proper_Training,COMP-266a388f7afdbe91,0.0,0.0,1.22,0.0,0.63,0.0,0.92,0.0,0.0,0.1,2.57,0.0,0.0,0.0
150,Proper_Training,COMP-055230aabe7d502c,0.0,0.0,1.1,0.0,0.61,0.0,2.08,0.0,0.0,0.12,2.38,0.0,0.0,0.0
151,Calibration,COMP-266a388f7afdbe91,0.0,0.0,1.22,0.0,0.63,0.0,0.92,0.0,0.0,0.1,2.57,0.0,0.0,0.0
152,Proper_Training,COMP-055230aabe7d502c,0.0,0.0,1.1,0.0,0.61,0.0,2.08,0.0,0.0,0.12,2.38,0.0,0.0,0.0
153,Final_Test,COMP-150ce51691dfb5f9,0.0,0.0,1.22,0.0,0.61,0.0,0.0,0.0,0.0,0.08,2.49,0.0,0.0,0.0
154,Proper_Training,COMP-150ce51691dfb5f9,0.0,0.0,1.22,0.0,0.61,0.0,0.0,0.0,0.0,0.08,2.49,0.0,0.0,0.0
155,Calibration,COMP-941f92def7f50542,0.0,0.0,0.22,0.0,2.49,0.0,7.11,0.0,0.0,0.4,0.0,0.0,0.0,0.22
156,Proper_Training,COMP-941f92def7f50542,0.0,0.0,0.22,0.0,2.49,0.0,7.11,0.0,0.0,0.4,0.0,0.0,0.0,0.22
157,Proper_Training,COMP-ddfcf6030a718a0c,0.0,0.0,0.21,0.0,2.6,0.0,6.84,0.0,0.0,0.18,0.0,0.0,0.0,0.37
