Original_Index,Data_Split,Composition_ID,Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc
344,Proper_Training,COMP-e1e52574fbb04f58,0.02,0.04,1.79,0.0,1.5,0.0,7.41,0.0,0.04,0.09,0.0,0.0,0.0,0.0
345,Proper_Training,COMP-e1e52574fbb04f58,0.02,0.04,1.79,0.0,1.5,0.0,7.41,0.0,0.04,0.09,0.0,0.0,0.0,0.0
346,Calibration,COMP-e1e52574fbb04f58,0.02,0.04,1.79,0.0,1.5,0.0,7.41,0.0,0.04,0.09,0.0,0.0,0.0,0.0
347,Proper_Training,COMP-e1e52574fbb04f58,0.02,0.04,1.79,0.0,1.5,0.0,7.41,0.0,0.04,0.09,0.0,0.0,0.0,0.0
348,Proper_Training,COMP-30cef922979fb9fd,0.15,0.26,1.5,0.0,2.4,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,Proper_Training,COMP-30cef922979fb9fd,0.15,0.26,1.5,0.0,2.4,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,Proper_Training,COMP-30cef922979fb9fd,0.15,0.26,1.5,0.0,2.4,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,Proper_Training,COMP-30cef922979fb9fd,0.15,0.26,1.5,0.0,2.4,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,Proper_Training,COMP-30cef922979fb9fd,0.15,0.26,1.5,0.0,2.4,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,Final_Test,COMP-30cef922979fb9fd,0.15,0.26,1.5,0.0,2.4,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,Proper_Training,COMP-59f47d6774b9fdfb,0.5,0.5,4.5,0.58,1.5,0.01,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0
355,Final_Test,COMP-59f47d6774b9fdfb,0.5,0.5,4.5,0.58,1.5,0.01,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0
356,Proper_Training,COMP-59f47d6774b9fdfb,0.5,0.5,4.5,0.58,1.5,0.01,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0
357,Calibration,COMP-59f47d6774b9fdfb,0.5,0.5,4.5,0.58,1.5,0.01,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0
358,Proper_Training,COMP-59f47d6774b9fdfb,0.5,0.5,4.5,0.58,1.5,0.01,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0
359,Calibration,COMP-59f47d6774b9fdfb,0.5,0.5,4.5,0.58,1.5,0.01,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0
360,Proper_Training,COMP-0765adc8c505dd3b,0.01,0.08,5.64,0.33,0.23,0.0,0.0,0.09,0.11,0.15,0.0,0.0,0.0,0.0
361,Calibration,COMP-0765adc8c505dd3b,0.01,0.08,5.64,0.33,0.23,0.0,0.0,0.09,0.11,0.15,0.0,0.0,0.0,0.0
362,Calibration,COMP-0765adc8c505dd3b,0.01,0.08,5.64,0.33,0.23,0.0,0.0,0.09,0.11,0.15,0.0,0.0,0.0,0.0
363,Proper_Training,COMP-0765adc8c505dd3b,0.01,0.08,5.64,0.33,0.23,0.0,0.0,0.09,0.11,0.15,0.0,0.0,0.0,0.0
364,Proper_Training,COMP-0765adc8c505dd3b,0.01,0.08,5.64,0.33,0.23,0.0,0.0,0.09,0.11,0.15,0.0,0.0,0.0,0.0
365,Proper_Training,COMP-e1e52574fbb04f58,0.02,0.04,1.79,0.0,1.5,0.0,7.41,0.0,0.04,0.09,0.0,0.0,0.0,0.0
366,Calibration,COMP-e1e52574fbb04f58,0.02,0.04,1.79,0.0,1.5,0.0,7.41,0.0,0.04,0.09,0.0,0.0,0.0,0.0
367,Calibration,COMP-e1e52574fbb04f58,0.02,0.04,1.79,0.0,1.5,0.0,7.41,0.0,0.04,0.09,0.0,0.0,0.0,0.0
368,Final_Test,COMP-e1e52574fbb04f58,0.02,0.04,1.79,0.0,1.5,0.0,7.41,0.0,0.04,0.09,0.0,0.0,0.0,0.0
369,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
370,Final_Test,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
371,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
372,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
373,Final_Test,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
374,Calibration,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
375,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
376,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
377,Calibration,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
378,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
379,Final_Test,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
380,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
381,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
382,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
383,Final_Test,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
384,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
385,Calibration,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
386,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
387,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
388,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
389,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
390,Final_Test,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
391,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
392,Calibration,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
393,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
394,Calibration,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
395,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
396,Final_Test,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
397,Calibration,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
398,Final_Test,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
399,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
400,Final_Test,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
401,Final_Test,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
402,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
403,Calibration,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
404,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
405,Proper_Training,COMP-6f2ca218fbd1923b,11.95,0.378,4.49,0.03,0.6,0.03,0.02,0.0,0.03,0.0001,0.0,0.101025,0.0,0.0
406,Proper_Training,COMP-7fb1fecc93ced403,0.644,0.116,4.41,0.521,0.691,0.0,0.0,0.013,0.014,0.0,0.0,0.0,0.0,0.0
407,Calibration,COMP-7fb1fecc93ced403,0.644,0.116,4.41,0.521,0.691,0.0,0.0,0.013,0.014,0.0,0.0,0.0,0.0,0.0
408,Proper_Training,COMP-7fb1fecc93ced403,0.644,0.116,4.41,0.521,0.691,0.0,0.0,0.013,0.014,0.0,0.0,0.0,0.0,0.0
409,Final_Test,COMP-7fb1fecc93ced403,0.644,0.116,4.41,0.521,0.691,0.0,0.0,0.013,0.014,0.0,0.0,0.0,0.0,0.0
410,Calibration,COMP-d0b1666c8036d66c,1.18,0.24,0.09,0.9,1.07,0.14,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
411,Calibration,COMP-d0b1666c8036d66c,1.18,0.24,0.09,0.9,1.07,0.14,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
412,Calibration,COMP-d0b1666c8036d66c,1.18,0.24,0.09,0.9,1.07,0.14,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
413,Proper_Training,COMP-a85acb2f2da0216b,1.2,0.18,0.06,0.86,0.97,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,Proper_Training,COMP-a85acb2f2da0216b,1.2,0.18,0.06,0.86,0.97,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,Proper_Training,COMP-a85acb2f2da0216b,1.2,0.18,0.06,0.86,0.97,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,Calibration,COMP-a85acb2f2da0216b,1.2,0.18,0.06,0.86,0.97,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,Final_Test,COMP-a85acb2f2da0216b,1.2,0.18,0.06,0.86,0.97,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,Proper_Training,COMP-a85acb2f2da0216b,1.2,0.18,0.06,0.86,0.97,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,Calibration,COMP-a85acb2f2da0216b,1.2,0.18,0.06,0.86,0.97,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,Final_Test,COMP-a85acb2f2da0216b,1.2,0.18,0.06,0.86,0.97,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,Proper_Training,COMP-edeedccfd8f07e13,0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0
422,Proper_Training,COMP-edeedccfd8f07e13,0.85,0.7,4.45,0.8,0.5,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0
423,Final_Test,COMP-8e1fe5f59d3c7565,0.8,0.0,4.4,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
425,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
426,Final_Test,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
427,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
428,Final_Test,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
429,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
430,Calibration,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
431,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
432,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
433,Final_Test,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
434,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
435,Calibration,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
436,Calibration,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
437,Final_Test,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
438,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
439,Final_Test,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
440,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
441,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
442,Final_Test,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
443,Final_Test,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
444,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
445,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
446,Final_Test,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
447,Final_Test,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
448,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
449,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
450,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
451,Proper_Training,COMP-f9d9cbed014e8b80,0.0,0.0,6.5,0.3,0.0,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0,0.0
