Feature_Count,Repeat,Fold,Outer_ID,Implementation,Chain_Order,Target,R2,RMSE,MAE,NRMSE,NMAE,MAPE_Percent,Selected_Chain_Order,Chain_Order_Status
,3,4,R03_F04,RegressorChain(ExtraTreesRegressor),YS>El>UTS,El,0.7445926973360407,3.735953136404449,2.153237268518509,0.5200441369954911,0.2997303167809359,21.387220565702794,YS>El>UTS,Selected_by_inner_training_CV
,3,4,R03_F04,RegressorChain(ExtraTreesRegressor),YS>El>UTS,Macro,0.8212838703321793,,,0.43112074093061453,0.26483386809841697,,YS>El>UTS,Selected_by_inner_training_CV
,3,5,R03_F05,RegressorChain(ExtraTreesRegressor),El>UTS>YS,YS,0.9009815361568134,35.78998793547794,26.739426851852084,0.29344780930093745,0.21924081801269465,7.98156742071991,El>UTS>YS,Selected_by_inner_training_CV
,3,5,R03_F05,RegressorChain(ExtraTreesRegressor),El>UTS>YS,UTS,0.8966028982308135,31.042993832934094,23.021214699074623,0.2941229125607928,0.2181189982647747,5.532975671749957,El>UTS>YS,Selected_by_inner_training_CV
,3,5,R03_F05,RegressorChain(ExtraTreesRegressor),El>UTS>YS,El,0.7210953817526706,3.2105876819681702,2.3471275462963046,0.4292605884287875,0.3138146194540083,20.9539302590588,El>UTS>YS,Selected_by_inner_training_CV
,3,5,R03_F05,RegressorChain(ExtraTreesRegressor),El>UTS>YS,Macro,0.8395599387134324,,,0.33894377009683924,0.2503914785771592,,El>UTS>YS,Selected_by_inner_training_CV
,4,1,R04_F01,RegressorChain(ExtraTreesRegressor),El>UTS>YS,YS,0.8867510413206228,43.462445981250255,29.417128935185456,0.36877782558623906,0.24960364284117217,10.373200182012134,El>UTS>YS,Selected_by_inner_training_CV
,4,1,R04_F01,RegressorChain(ExtraTreesRegressor),El>UTS>YS,UTS,0.9027059292751608,33.35515492648297,22.43637731481534,0.3240229783614382,0.21795437068755433,5.825051056427605,El>UTS>YS,Selected_by_inner_training_CV
,4,1,R04_F01,RegressorChain(ExtraTreesRegressor),El>UTS>YS,El,0.6821500045491198,4.098519947459711,2.4544353009259234,0.5679584353007611,0.340126985090035,16.5786161629683,El>UTS>YS,Selected_by_inner_training_CV
,4,1,R04_F01,RegressorChain(ExtraTreesRegressor),El>UTS>YS,Macro,0.8238689917149679,,,0.4202530797494794,0.26922833287292053,,El>UTS>YS,Selected_by_inner_training_CV
,4,2,R04_F02,RegressorChain(ExtraTreesRegressor),El>UTS>YS,YS,0.8591449254033119,53.92305779981583,39.43858287037056,0.47697598964617804,0.34885367897111447,16.555889109136164,El>UTS>YS,Selected_by_inner_training_CV
,4,2,R04_F02,RegressorChain(ExtraTreesRegressor),El>UTS>YS,UTS,0.8912305998071925,39.89632662651859,29.79485451388893,0.40461619179535385,0.3021701892848757,7.734584328063416,El>UTS>YS,Selected_by_inner_training_CV
,4,2,R04_F02,RegressorChain(ExtraTreesRegressor),El>UTS>YS,El,0.5478772734496566,5.847024688017709,3.2333410108024627,0.866041300107022,0.47891141257247866,20.929727281616735,El>UTS>YS,Selected_by_inner_training_CV
,4,2,R04_F02,RegressorChain(ExtraTreesRegressor),El>UTS>YS,Macro,0.7660842662200537,,,0.582544493849518,0.3766450936094896,,El>UTS>YS,Selected_by_inner_training_CV
,4,3,R04_F03,RegressorChain(ExtraTreesRegressor),YS>El>UTS,YS,0.8322713127135587,41.81761691112524,26.809154861111377,0.3358693939314832,0.21532490993338294,8.215748783723136,YS>El>UTS,Selected_by_inner_training_CV
,4,3,R04_F03,RegressorChain(ExtraTreesRegressor),YS>El>UTS,UTS,0.8723954497386839,32.214137477109986,21.81660023148115,0.301168661204679,0.20396250833726565,5.105768908448418,YS>El>UTS,Selected_by_inner_training_CV
,4,3,R04_F03,RegressorChain(ExtraTreesRegressor),YS>El>UTS,El,0.8178310159649749,2.7704042878733026,1.9219270833333622,0.375401392857031,0.260429175341354,17.82613820965318,YS>El>UTS,Selected_by_inner_training_CV
,4,3,R04_F03,RegressorChain(ExtraTreesRegressor),YS>El>UTS,Macro,0.8408325928057391,,,0.3374798159977311,0.22657219787066754,,YS>El>UTS,Selected_by_inner_training_CV
,4,4,R04_F04,RegressorChain(ExtraTreesRegressor),El>YS>UTS,YS,0.6907546692735209,61.063422897053215,42.56597592592562,0.496775891395436,0.34629160355730426,12.437845527948657,El>YS>UTS,Selected_by_inner_training_CV
,4,4,R04_F04,RegressorChain(ExtraTreesRegressor),El>YS>UTS,UTS,0.7899339028889585,45.53270422067946,34.786090509258834,0.43388681052083644,0.33148098976068735,7.669534794187828,El>YS>UTS,Selected_by_inner_training_CV
,4,4,R04_F04,RegressorChain(ExtraTreesRegressor),El>YS>UTS,El,0.6835762033768294,3.617220099379128,2.5266096643518634,0.4878490729899048,0.34076007229224436,21.416343240763354,El>YS>UTS,Selected_by_inner_training_CV
,4,4,R04_F04,RegressorChain(ExtraTreesRegressor),El>YS>UTS,Macro,0.7214215918464363,,,0.4728372583020591,0.3395108885367453,,El>YS>UTS,Selected_by_inner_training_CV
