Implementation,Target,Metric,Mean_Difference_vs_Native,SD_Difference,Corrected_t,df,P_Value,CI95_Lower,CI95_Upper,Paired_Cohen_dz
Separately fitted target-wise ExtraTrees,Macro,NMAE,-0.00288763688853076,0.006071213772426453,-0.8832182964526721,24,0.3858801335633868,-0.009635447304912921,0.003860173527851401,-0.47562760870742193
MultiOutputRegressor(ExtraTreesRegressor),YS,R2,0.004903332772182934,0.005713513413621536,1.593635949386859,24,0.12410383613212168,-0.001446913944820086,0.011253579489185954,0.8581992230022497
MultiOutputRegressor(ExtraTreesRegressor),YS,NRMSE,-0.006383952102420641,0.0075723269541820995,-1.5655295284237325,24,0.1305502556918173,-0.014800164842243148,0.002032260637401866,-0.843063452099736
MultiOutputRegressor(ExtraTreesRegressor),YS,NMAE,-0.0042851712024402555,0.005426089449949779,-1.466500548735097,24,0.15549351570531444,-0.010315962454904922,0.0017456200500244115,-0.7897347144691683
MultiOutputRegressor(ExtraTreesRegressor),UTS,R2,-0.0020380074616572898,0.007076730679408233,-0.5347787021216016,24,0.5977231219230188,-0.009903392997794833,0.005827378074480253,-0.2879871446270315
MultiOutputRegressor(ExtraTreesRegressor),UTS,NRMSE,0.0029299809684278956,0.009583890938144655,0.5677065925479668,24,0.5755071174996942,-0.007721971264846316,0.013581933201702107,0.30571935629675584
MultiOutputRegressor(ExtraTreesRegressor),UTS,NMAE,0.0006640521446695113,0.006726533667596352,0.1833208509244931,24,0.8560862076018713,-0.006812109237506858,0.008140213526845881,0.0987212994812531
MultiOutputRegressor(ExtraTreesRegressor),El,R2,0.0032850711517601995,0.03921845488813539,0.1555447302046403,24,0.8776927559784093,-0.040304021298003256,0.04687416360152366,0.08376340070332601
MultiOutputRegressor(ExtraTreesRegressor),El,NRMSE,-0.0016526179426479693,0.0367500886655359,-0.08350549859360545,24,0.9341422217722607,-0.04249826107030893,0.03919302518501299,-0.04496908722285039
MultiOutputRegressor(ExtraTreesRegressor),El,NMAE,-0.005041791607821534,0.019395322851766796,-0.4827128709266917,24,0.6336734944469453,-0.02659859498750888,0.016515011771865814,-0.259948836446528
MultiOutputRegressor(ExtraTreesRegressor),Macro,R2,0.0020501321540952544,0.013296656994158038,0.28631255497500524,24,0.7770957241424027,-0.01272834937059351,0.016828613678784018,0.1541840294892161
MultiOutputRegressor(ExtraTreesRegressor),Macro,NRMSE,-0.0017021963588802437,0.012559106199441318,-0.25168186611884386,24,0.8034296223810512,-0.01566093192802323,0.012256539210262742,-0.13553483280171358
MultiOutputRegressor(ExtraTreesRegressor),Macro,NMAE,-0.00288763688853076,0.006071213772426453,-0.8832182964526721,24,0.3858801335633868,-0.009635447304912921,0.003860173527851401,-0.47562760870742193
RegressorChain_selected,YS,R2,0.0031808401423360166,0.013057341375540177,0.4523640524744975,24,0.6550691491401768,-0.011331655619926342,0.017693335904598376,0.24360549753984098
RegressorChain_selected,YS,NRMSE,-0.004324375026019998,0.01633848024136854,-0.4914877461050312,24,0.6275464313268282,-0.022483670892239852,0.013834920840199858,-0.26467425134626726
RegressorChain_selected,YS,NMAE,-0.0024555388250781397,0.009640482565477282,-0.4729868130902957,24,0.6404960592459392,-0.013170389448478134,0.008259311798321855,-0.25471119400925657
RegressorChain_selected,UTS,R2,-0.00011197275771688719,0.006855527256921044,-0.030330007206758502,24,0.9760546810601172,-0.007731503212095075,0.0075075576966613,-0.01633320874099718
RegressorChain_selected,UTS,NRMSE,0.00022900801224700617,0.008950071660402731,0.047514390826172107,24,0.9624964444372931,-0.009718489974353322,0.010176505998847335,0.025587282530953655
RegressorChain_selected,UTS,NMAE,0.0008884384909782106,0.008225401309954554,0.20057244603013785,24,0.8427229012780604,-0.008253629424718323,0.010030506406674746,0.10801156776423829
RegressorChain_selected,El,R2,-0.003258994852587671,0.03828506857723841,-0.1580721084638036,24,0.875722473207593,-0.045810681256827884,0.03929269155165255,-0.08512443554888233
RegressorChain_selected,El,NRMSE,0.005298320644080998,0.03706010190942822,0.26548050142376306,24,0.7929064432059606,-0.035891884654303347,0.046488525942465345,0.14296562532476703
RegressorChain_selected,El,NMAE,-0.0016432091501010371,0.01937953284725643,-0.15745285566408088,24,0.8762051524108811,-0.023182462833647936,0.019896044533445865,-0.0847909577105037
RegressorChain_selected,Macro,R2,-6.337582265620423e-05,0.015319465871793378,-0.007682118240206645,24,0.9939341173437255,-0.017090094903540066,0.016963343258227657,-0.004136947279140687
RegressorChain_selected,Macro,NRMSE,0.00040098454343600264,0.015817095668130606,0.04707625341556758,24,0.9628420031602064,-0.017178821885232756,0.017980790972104758,0.025351338314526
RegressorChain_selected,Macro,NMAE,-0.0010701031614003132,0.008687762811758148,-0.22872766297397312,24,0.8210183736931764,-0.010726059712047264,0.00858585338924664,-0.12317361610655618
