Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Tsol,Tage,tage,YS,UTS,El,Original_Index,Data_Split
1.35,0.5,0.275,0.7,0.85,0.1,0.25,0.0,0.15,0.0,0.0,0.0,0.0,0.0,545.0,25.0,0.0,172.0,317.0,20.0,53,Proper_Training
1.0,0.5,0.1,0.6,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,505.0,170.0,6.0,283.0,310.0,14.0,54,Proper_Training
1.0,0.5,0.1,0.6,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,505.0,25.0,0.0,152.0,248.0,20.0,55,Final_Test
0.4,0.15,0.2,0.05,0.675,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,180.0,6.0,145.0,186.0,12.0,56,Final_Test
0.4,0.15,0.2,0.05,0.675,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,175.0,8.0,145.0,186.0,12.0,57,Final_Test
0.02,0.06,1.55,0.0,2.3,0.0,6.3,0.0,0.0,0.14,0.0,0.0,0.0,0.25,465.0,120.0,24.0,537.0,588.0,14.0,58,Calibration
0.02,0.06,1.55,0.0,2.3,0.0,6.3,0.0,0.0,0.14,0.0,0.0,0.0,0.0,465.0,120.0,24.0,500.0,566.0,13.0,59,Calibration
0.12,0.15,2.3,0.1,2.25,0.04,6.2,0.0,0.06,0.115,0.0,0.0,0.0,0.0,475.0,177.0,9.0,397.0,474.0,5.4,60,Proper_Training
0.12,0.15,2.3,0.1,2.25,0.04,6.2,0.0,0.06,0.115,0.0,0.0,0.0,0.0,475.0,177.0,7.0,395.0,473.0,6.1,61,Proper_Training
0.01,0.02,1.42,0.01,2.19,0.19,5.37,0.0,0.01,0.0,0.0,0.0,0.0,0.0,470.0,120.0,24.0,575.0,636.0,15.0,62,Proper_Training
0.01,0.02,1.42,0.01,2.19,0.19,5.37,0.0,0.01,0.0,0.0,0.0,0.0,0.0,470.0,100.0,24.0,538.0,641.0,13.0,63,Proper_Training
0.0,0.0,1.5,0.0,2.65,0.21,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,120.0,24.0,510.0,554.0,11.7,64,Proper_Training
0.4,0.5,1.6,0.3,2.5,0.23,5.6,0.0,0.2,0.05,0.0,0.0,0.0,0.0,490.0,120.0,24.0,503.0,572.0,11.0,65,Proper_Training
0.2,0.3,1.55,0.15,2.6,0.2,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,120.0,30.0,502.0,572.0,9.0,66,Proper_Training
0.0,0.0,1.6,0.0,2.5,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,135.0,12.0,485.0,560.0,15.0,67,Proper_Training
0.01,0.02,1.42,0.01,2.19,0.19,5.37,0.0,0.01,0.0,0.0,0.0,0.0,0.0,470.0,170.0,24.0,476.0,547.0,17.0,68,Proper_Training
0.2,0.35,1.67,0.3,2.22,0.0,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,120.0,12.0,400.0,468.0,17.0,69,Proper_Training
0.01,0.02,1.42,0.01,2.19,0.19,5.37,0.0,0.01,0.0,0.0,0.0,0.0,0.0,470.0,175.0,24.0,348.0,440.0,19.0,70,Final_Test
0.3,0.5,1.6,0.3,2.5,0.23,5.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,480.0,25.0,720.0,320.0,530.0,20.5,71,Calibration
0.2,0.57,1.76,0.15,3.64,0.5,6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,25.0,0.0,260.0,500.0,15.0,72,Final_Test
0.4,0.6,0.65,0.55,1.6,0.0,7.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,493.0,120.0,24.0,415.0,485.0,14.0,73,Final_Test
0.16,0.28,4.52,0.58,1.62,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,495.0,160.0,3.0,327.0,411.0,17.8,74,Proper_Training
0.0,0.0,2.2,0.0,2.5,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,130.0,24.0,684.0,710.0,8.9,75,Final_Test
0.08,0.16,0.34,0.33,1.91,0.0,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,25.0,0.0,183.0,328.0,25.2,76,Final_Test
0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,530.0,170.0,48.0,420.0,542.0,4.3,77,Final_Test
0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,530.0,170.0,72.0,416.0,529.0,4.7,78,Final_Test
0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,530.0,185.0,16.0,413.0,526.0,4.1,79,Final_Test
0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,530.0,170.0,32.0,410.0,527.0,3.9,80,Proper_Training
0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,530.0,170.0,24.0,407.0,514.0,3.7,81,Calibration
0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,530.0,185.0,48.0,400.0,517.0,5.0,82,Final_Test
0.0,0.0,1.07,0.0,1.07,0.0,3.4,0.0,0.0,0.1,1.8,0.0,0.0,0.0,530.0,185.0,16.0,380.0,489.0,4.7,83,Proper_Training
0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,530.0,185.0,2.0,380.0,503.0,5.5,84,Proper_Training
0.0,0.0,1.07,0.0,1.07,0.0,3.4,0.0,0.0,0.1,1.8,0.0,0.0,0.0,530.0,170.0,24.0,378.0,484.0,6.5,85,Proper_Training
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,530.0,170.0,24.0,378.0,463.0,2.7,86,Proper_Training
0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,530.0,170.0,8.0,373.0,502.0,3.8,87,Proper_Training
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,530.0,185.0,16.0,372.0,464.0,3.6,88,Proper_Training
0.0,0.0,1.07,0.0,1.07,0.0,3.4,0.0,0.0,0.1,1.8,0.0,0.0,0.0,530.0,185.0,48.0,362.0,475.0,5.6,89,Calibration
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,530.0,185.0,8.0,360.0,458.0,3.0,90,Final_Test
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,530.0,185.0,48.0,357.0,451.0,4.4,91,Calibration
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,530.0,185.0,4.0,347.0,449.0,3.9,92,Proper_Training
0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,530.0,170.0,2.0,342.0,474.0,3.1,93,Final_Test
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,530.0,170.0,8.0,340.0,449.0,2.8,94,Proper_Training
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,530.0,185.0,96.0,338.0,432.0,5.4,95,Proper_Training
0.0,0.0,1.24,0.0,0.7,0.0,0.0,0.0,0.0,0.12,2.49,0.0,0.0,0.0,530.0,185.0,2.0,332.0,439.0,4.6,96,Proper_Training
0.0,0.0,0.75,0.0,1.76,0.0,2.22,0.0,0.0,0.12,2.59,0.0,0.0,0.0,530.0,170.0,1.0,325.0,450.0,5.3,97,Proper_Training
0.0,0.0,1.07,0.0,1.07,0.0,3.4,0.0,0.0,0.1,1.8,0.0,0.0,0.0,530.0,185.0,2.0,323.0,459.0,8.2,98,Proper_Training
